url;brand;category;price;size;delivery time;now
https://www.zalando.nl/good-for-nothing-hoodie-grey-gog22s029-c11.html;Good For Nothing;GREY ACID WASH HOOD - Sweater;59,95;;1-2;2022-03-17 17:06:48.298391
https://www.zalando.nl/drdenim-omar-crease-pants-chino-black-dr122e00g-q11.html;Dr.Denim;OMAR CREASE PANTS - Chino;69,95;;1-2;2022-03-17 17:06:48.298391
https://www.zalando.nl/tom-tailor-denim-cotton-linen-shorts-navy-white-to722f08s-a11.html;TOM TAILOR DENIM;Shorts;39,99;;1-2;2022-03-17 17:06:48.298391
https://www.zalando.nl/fetish-design-leren-broek-dunkelblau-fev22e000-k11.html;Fetish-Design;Leren broek;179,90;;3-6;2022-03-17 17:06:48.298391
https://www.zalando.nl/massimo-dutti-chino-light-grey-m3i22e0b8-c11.html;Massimo Dutti;Chino;59,95;;3-6;2022-03-17 17:06:48.298391
https://www.zalando.nl/fetish-design-lederhemd-california-overhemd-schwarz-fev22d001-q11.html;Fetish-Design;LEDERHEMD CALIFORNIA - Overhemd;154,99;;3-6;2022-03-17 17:06:48.298391
https://www.zalando.nl/allsaints-nippon-overhemd-light-blue-a0q22d0in-k11.html;AllSaints;NIPPON - Overhemd;129,95;;1-2;2022-03-17 17:06:48.298391
https://www.zalando.nl/2blind2c-bomberjacks-navy-2b122t00m-k11.html;2Blind2C;JESUS  - Bomberjacks -  navy;149,00;;1-2;2022-03-17 17:06:48.298391
https://www.zalando.nl/allsaints-opposition-pants-trainingsbroek-black-a0q22e02m-q11.html;AllSaints;OPPOSITION PANTS - Trainingsbroek;109,95;;1-2;2022-03-17 17:06:48.298391
https://www.zalando.nl/jlindeberg-chaze-super-pants-chino-navy-jl122e08u-k11.html;J.LINDEBERG;CHAZE SUPER PANTS - Chino;109,95;;1-2;2022-03-17 17:06:48.298391
https://www.zalando.nl/jlindeberg-broek-blue-indigo-jl122e09o-k11.html;J.LINDEBERG;LEO - Broek;180,00;;3-6;2022-03-17 17:06:48.298391
https://www.zalando.nl/polo-ralph-lauren-long-sleeve-sport-overhemd-spring-orange-po222d0k8-h11.html;Polo Ralph Lauren;LONG SLEEVE SPORT  - Overhemd;109,95;;1-2;2022-03-17 17:06:48.298391
https://www.zalando.nl/selected-homme-slhnorman-t-shirt-print-light-blue-se622o0p1-m12.html;Selected Homme;SLHNORMAN  - T-shirt print;19,99;;3-6;2022-03-17 17:06:48.298391
https://www.zalando.nl/finshley-and-harding-overhemd-blau-taupe-fiu22d039-a13.html;FINSHLEY & HARDING;Overhemd;39,99;;3-6;2022-03-17 17:06:48.298391
https://www.zalando.nl/revolution-casual-shorts-army-re622f01a-n11.html;REVOLUTION;CASUAL - Shorts;59,95;;1-2;2022-03-17 17:06:48.298391
https://www.zalando.nl/levis-contemporary-spijkerjas-naturals-le221004p-e11.html;Levi's®;CONTEMPORARY - Spijkerjas;129,95;;1-2;2022-03-17 17:06:48.298391
https://www.zalando.nl/billabong-kinderbord-blue-bi722t025-k11.html;Billabong;SURF  - Poncho;65,95;;3-6;2022-03-17 17:06:48.298391
https://www.zalando.nl/032c-selfie-cardigan-unisex-vest-black-03021001n-q11.html;032c;SELFIE CARDIGAN UNISEX - Vest;375,00;;1-2;2022-03-17 17:06:48.298391
